Year,Norway,Denmark,Australia,China,India,Poland
2000,99.7,15.5,8.1,16.6,14,1.6
2001,99.5,15.6,7.7,19,13,1.9
2002,99.6,17.4,8,17.6,11.9,1.9
2003,99.4,17.6,8.3,15,11.7,1.5
2004,99.4,23.7,8.5,16.2,15.6,2.1
2005,99.5,27.2,9,16.2,15.3,2.5
2006,99.3,20.2,8.9,15.6,17.1,2.7
2007,99.1,26.3,8.3,15.3,17.8,3.4
2008,99.4,27.7,7.8,19,16.8,4.3
2009,96.6,27.8,8.1,17.9,15.2,5.8
2010,95.8,32.1,8.8,18.7,15.1,6.9
2011,96.8,40.4,11.9,16.8,16.7,8.1
2012,98.2,48.5,12.1,20,14.9,10.5
2013,98,46.1,14.2,20.1,16,10.4
2014,97.9,56.1,13.2,22.2,15.8,12.5
2015,98,65.8,14.1,24,14.6,13.8
2016,98.1,60.5,16.2,24.8,14.4,13.7
2017,98.1,70.6,15.1,25.2,15.5,14.2
2018,98,68.7,18.8,25.6,16.3,12.8
2019,97.9,78.6,20.8,26.9,18.1,15.6
2020,98.5,82,24.2,28.1,19.4,18
2021,99.3,79.3,28.9,28.7,19,17.1
2022,98.6,80.9,32,30.2,20.3,21.1
2023,98.5,86.4,34.8,30.6,19.3,27.2
