series,year,u5mr
Sub-Saharan Africa,1990,181.344910949701
Sub-Saharan Africa,1991,184.472323667069
Sub-Saharan Africa,1992,183.120764410722
Sub-Saharan Africa,1993,177.312368328774
Sub-Saharan Africa,1994,176.905153337152
Sub-Saharan Africa,1995,172.15424529546
Sub-Saharan Africa,1996,169.112332960674
Sub-Saharan Africa,1997,165.805485065062
Sub-Saharan Africa,1998,164.256061477332
Sub-Saharan Africa,1999,157.008666969727
Sub-Saharan Africa,2000,152.049057610136
Sub-Saharan Africa,2001,146.824838458442
Sub-Saharan Africa,2002,141.064538390198
Sub-Saharan Africa,2003,135.504117524017
Sub-Saharan Africa,2004,129.990357341292
Sub-Saharan Africa,2005,124.544112800637
Sub-Saharan Africa,2006,119.404166432798
Sub-Saharan Africa,2007,114.528169599701
Sub-Saharan Africa,2008,109.807931282069
Sub-Saharan Africa,2009,108.046779063021
Sub-Saharan Africa,2010,102.379817380694
Sub-Saharan Africa,2011,102.293645286162
Sub-Saharan Africa,2012,95.7678824260179
Sub-Saharan Africa,2013,92.4331695564963
Sub-Saharan Africa,2014,91.2406191981529
Sub-Saharan Africa,2015,89.0293265356996
Sub-Saharan Africa,2016,86.7824596120172
Sub-Saharan Africa,2017,85.0752978723915
Sub-Saharan Africa,2018,80.637477626226
Sub-Saharan Africa,2019,78.5643212058636
Sub-Saharan Africa,2020,75.4520862920945
Sub-Saharan Africa,2021,73.5039907628449
Sub-Saharan Africa,2022,73.6342907714025
Sub-Saharan Africa,2023,68.8192851545085
World,1990,93.5816547351878
World,1991,93.3106870164903
World,1992,92.6932307606644
World,1993,90.7796438336352
World,1994,89.6172806260646
World,1995,87.7520202907914
World,1996,85.9543681712478
World,1997,83.9692676009246
World,1998,82.2867875149198
World,1999,79.3487321194683
World,2000,76.6715452354865
World,2001,74.0976965861235
World,2002,71.4818785794508
World,2003,68.6061590448486
World,2004,66.2160058595444
World,2005,63.3283755132937
World,2006,60.6211720333488
World,2007,58.0468824016156
World,2008,55.8012122470508
World,2009,54.0240799122267
World,2010,51.709792650468
World,2011,50.6236021155346
World,2012,47.816162928337
World,2013,46.1187628614184
World,2014,44.882243253539
World,2015,43.7221112761531
World,2016,42.4014936210327
World,2017,41.3165489914024
World,2018,40.1752315273942
World,2019,39.4722035768158
World,2020,38.7379965405281
World,2021,38.2398721466389
World,2022,38.2490402168651
World,2023,36.7188580934422
